2025-02-04 15:13:52 status unpacked libtirpc-dev:amd64 1.3.2-2ubuntu0.1
2025-02-04 15:13:52 install libnsl-dev:amd64 <none> 1.3.0-2build2
2025-02-04 15:13:52 status half-installed libnsl-dev:amd64 1.3.0-2build2
2025-02-04 15:13:52 status unpacked libnsl-dev:amd64 1.3.0-2build2
2025-02-04 15:13:52 install libc6-dev:amd64 <none> 2.35-0ubuntu3.8
2025-02-04 15:13:52 status half-installed libc6-dev:amd64 2.35-0ubuntu3.8
2025-02-04 15:13:52 status unpacked libc6-dev:amd64 2.35-0ubuntu3.8
2025-02-04 15:13:52 install gcc-11-base:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:52 status half-installed gcc-11-base:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:52 status unpacked gcc-11-base:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:52 install libisl23:amd64 <none> 0.24-2build1
2025-02-04 15:13:52 status half-installed libisl23:amd64 0.24-2build1
2025-02-04 15:13:52 status unpacked libisl23:amd64 0.24-2build1
2025-02-04 15:13:52 install libmpc3:amd64 <none> 1.2.1-2build1
2025-02-04 15:13:52 status half-installed libmpc3:amd64 1.2.1-2build1
2025-02-04 15:13:52 status unpacked libmpc3:amd64 1.2.1-2build1
2025-02-04 15:13:52 install cpp-11:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:52 status half-installed cpp-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:52 status unpacked cpp-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:52 install cpp:amd64 <none> 4:11.2.0-1ubuntu1
2025-02-04 15:13:52 status half-installed cpp:amd64 4:11.2.0-1ubuntu1
2025-02-04 15:13:52 status unpacked cpp:amd64 4:11.2.0-1ubuntu1
2025-02-04 15:13:52 install libcc1-0:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:52 status half-installed libcc1-0:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:52 status unpacked libcc1-0:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libgomp1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libgomp1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libgomp1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libitm1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libitm1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libitm1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libatomic1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libatomic1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libatomic1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libasan6:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libasan6:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libasan6:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 install liblsan0:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed liblsan0:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked liblsan0:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libtsan0:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libtsan0:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libtsan0:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libubsan1:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libubsan1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libubsan1:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libquadmath0:amd64 <none> 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libquadmath0:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libquadmath0:amd64 12.3.0-1ubuntu1~22.04
2025-02-04 15:13:53 install libgcc-11-dev:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 install gcc-11:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed gcc-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status unpacked gcc-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 install gcc:amd64 <none> 4:11.2.0-1ubuntu1
2025-02-04 15:13:53 status half-installed gcc:amd64 4:11.2.0-1ubuntu1
2025-02-04 15:13:53 status unpacked gcc:amd64 4:11.2.0-1ubuntu1
2025-02-04 15:13:53 install libstdc++-11-dev:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:53 status half-installed libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:54 status unpacked libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:54 install g++-11:amd64 <none> 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:54 status half-installed g++-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:54 status unpacked g++-11:amd64 11.4.0-1ubuntu1~22.04
2025-02-04 15:13:54 install g++:amd64 <none> 4:11.2.0-1ubuntu1
2025-02-04 15:13:54 status half-installed g++:amd64 4:11.2.0-1ubuntu1
2025-02-04 15:13:54 status unpacked g++:amd64 4:11.2.0-1ubuntu1
2025-02-04 15:13:54 install make:amd64 <none> 4.3-4.1build1
2025-02-04 15:13:54 status half-installed make:amd64 4.3-4.1build1
2025-02-04 15:13:54 status unpacked make:amd64 4.3-4.1build1
2025-02-04 15:13:54 install libdpkg-perl:all <none> 1.21.1ubuntu2.3
2025-02-04 15:13:54 status half-installed libdpkg-perl:all 1.21.1ubuntu2.3
2025-02-04 15:13:54 status unpacked libdpkg-perl:all 1.21.1ubuntu2.3
2025-02-04 15:13:54 install lto-disabled-list:all <none> 24
2025-02-04 15:13:54 status half-installed lto-disabled-list:all 24
2025-02-04 15:13:54 status unpacked lto-disabled-list:all 24
2025-02-04 15:13:54 install dpkg-dev:all <none> 1.21.1ubuntu2.3
2025-02-04 15:13:54 status half-installed dpkg-dev:all 1.21.1ubuntu2.3
2025-02-04 15:13:54 status unpacked dpkg-dev:all 1.21.1ubuntu2.3
2025-02-04 15:13:54 install build-essential:amd64 <none> 12.9ubuntu3
2025-02-04 15:13:54 status half-installed build-essential:amd64 12.9ubuntu3
2025-02-04 15:13:54 status unpacked build-essential:amd64 12.9ubuntu3
2025-02-04 15:13:54 install libfakeroot:amd64 <none> 1.28-1ubuntu1
2025-02-04 15:13:54 status half-installed libfakeroot:amd64 1.28-1ubuntu1
2025-02-04 15:13:54 status unpacked libfakeroot:amd64 1.28-1ubuntu1
2025-02-04 15:13:54 install fakeroot:amd64 <none> 1.28-1ubuntu1
2025-02-04 15:13:54 status half-installed fakeroot:amd64 1.28-1ubuntu1
2025-02-04 15:13:54 status unpacked fakeroot:amd64 1.28-1ubuntu1
2025-02-04 15:13:54 install fonts-dejavu-core:all <none> 2.37-2build1
2025-02-04 15:13:54 status half-installed fonts-dejavu-core:all 2.37-2build1
2025-02-04 15:13:54 status unpacked fonts-dejavu-core:all 2.37-2build1
2025-02-04 15:13:54 install fontconfig-config:all <none> 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 status half-installed fontconfig-config:all 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 status unpacked fontconfig-config:all 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 install libfontconfig1:amd64 <none> 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 status half-installed libfontconfig1:amd64 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 status unpacked libfontconfig1:amd64 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 install fontconfig:amd64 <none> 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 status half-installed fontconfig:amd64 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 status unpacked fontconfig:amd64 2.13.1-4.2ubuntu5
2025-02-04 15:13:54 install gyp:all <none> 0.1+20210831gitd6c5dd5-5
2025-02-04 15:13:54 status half-installed gyp:all 0.1+20210831gitd6c5dd5-5
2025-02-04 15:13:54 status unpacked gyp:all 0.1+20210831gitd6c5dd5-5
2025-02-04 15:13:54 install libalgorithm-diff-perl:all <none> 1.201-1
2025-02-04 15:13:54 status half-installed libalgorithm-diff-perl:all 1.201-1
2025-02-04 15:13:54 status unpacked libalgorithm-diff-perl:all 1.201-1
2025-02-04 15:13:54 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-6build3
2025-02-04 15:13:54 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-6build3
2025-02-04 15:13:54 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-6build3
2025-02-04 15:13:54 install libalgorithm-merge-perl:all <none> 0.08-3
2025-02-04 15:13:54 status half-installed libalgorithm-merge-perl:all 0.08-3
2025-02-04 15:13:54 status unpacked libalgorithm-merge-perl:all 0.08-3
2025-02-04 15:13:54 install libatk1.0-data:all <none> 2.36.0-3build1
2025-02-04 15:13:54 status half-installed libatk1.0-data:all 2.36.0-3build1
2025-02-04 15:13:54 status unpacked libatk1.0-data:all 2.36.0-3build1
2025-02-04 15:13:54 install libatk1.0-0:amd64 <none> 2.36.0-3build1
2025-02-04 15:13:54 status half-installed libatk1.0-0:amd64 2.36.0-3build1
2025-02-04 15:13:54 status unpacked libatk1.0-0:amd64 2.36.0-3build1
2025-02-04 15:13:54 install libatk-bridge2.0-0:amd64 <none> 2.38.0-3
2025-02-04 15:13:54 status half-installed libatk-bridge2.0-0:amd64 2.38.0-3
2025-02-04 15:13:54 status unpacked libatk-bridge2.0-0:amd64 2.38.0-3
2025-02-04 15:13:54 install libavahi-common-data:amd64 <none> 0.8-5ubuntu5.2
2025-02-04 15:13:54 status half-installed libavahi-common-data:amd64 0.8-5ubuntu5.2
2025-02-04 15:13:54 status unpacked libavahi-common-data:amd64 0.8-5ubuntu5.2
2025-02-04 15:13:54 install libavahi-common3:amd64 <none> 0.8-5ubuntu5.2
2025-02-04 15:13:54 status half-installed libavahi-common3:amd64 0.8-5ubuntu5.2
2025-02-04 15:13:54 status unpacked libavahi-common3:amd64 0.8-5ubuntu5.2
2025-02-04 15:13:54 install libavahi-client3:amd64 <none> 0.8-5ubuntu5.2
2025-02-04 15:13:54 status half-installed libavahi-client3:amd64 0.8-5ubuntu5.2
2025-02-04 15:13:54 status unpacked libavahi-client3:amd64 0.8-5ubuntu5.2
2025-02-04 15:13:54 install libxpm4:amd64 <none> 1:3.5.12-1ubuntu0.22.04.2
2025-02-04 15:13:54 status half-installed libxpm4:amd64 1:3.5.12-1ubuntu0.22.04.2
2025-02-04 15:13:54 status unpacked libxpm4:amd64 1:3.5.12-1ubuntu0.22.04.2
2025-02-04 15:13:54 install libgd3:amd64 <none> 2.3.0-2ubuntu2.3
2025-02-04 15:13:54 status half-installed libgd3:amd64 2.3.0-2ubuntu2.3
2025-02-04 15:13:55 status unpacked libgd3:amd64 2.3.0-2ubuntu2.3
2025-02-04 15:13:55 install libc-devtools:amd64 <none> 2.35-0ubuntu3.8
2025-02-04 15:13:55 status half-installed libc-devtools:amd64 2.35-0ubuntu3.8
2025-02-04 15:13:55 status unpacked libc-devtools:amd64 2.35-0ubuntu3.8
2025-02-04 15:13:55 install libpixman-1-0:amd64 <none> 0.40.0-1ubuntu0.22.04.1
2025-02-04 15:13:55 status half-installed libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2025-02-04 15:13:55 status unpacked libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2025-02-04 15:13:55 install libxcb-render0:amd64 <none> 1.14-3ubuntu3
2025-02-04 15:13:55 status half-installed libxcb-render0:amd64 1.14-3ubuntu3
2025-02-04 15:13:55 status unpacked libxcb-render0:amd64 1.14-3ubuntu3
2025-02-04 15:13:55 install libxcb-shm0:amd64 <none> 1.14-3ubuntu3
2025-02-04 15:13:55 status half-installed libxcb-shm0:amd64 1.14-3ubuntu3
2025-02-04 15:13:55 status unpacked libxcb-shm0:amd64 1.14-3ubuntu3
2025-02-04 15:13:55 install libxrender1:amd64 <none> 1:0.9.10-1build4
2025-02-04 15:13:55 status half-installed libxrender1:amd64 1:0.9.10-1build4
2025-02-04 15:13:55 status unpacked libxrender1:amd64 1:0.9.10-1build4
2025-02-04 15:13:55 install libcairo2:amd64 <none> 1.16.0-5ubuntu2
2025-02-04 15:13:55 status half-installed libcairo2:amd64 1.16.0-5ubuntu2
2025-02-04 15:13:55 status unpacked libcairo2:amd64 1.16.0-5ubuntu2
2025-02-04 15:13:55 install libcairo-gobject2:amd64 <none> 1.16.0-5ubuntu2
2025-02-04 15:13:55 status half-installed libcairo-gobject2:amd64 1.16.0-5ubuntu2
2025-02-04 15:13:55 status unpacked libcairo-gobject2:amd64 1.16.0-5ubuntu2
2025-02-04 15:13:55 install libclone-perl:amd64 <none> 0.45-1build3
2025-02-04 15:13:55 status half-installed libclone-perl:amd64 0.45-1build3
2025-02-04 15:13:55 status unpacked libclone-perl:amd64 0.45-1build3
2025-02-04 15:13:55 install liblcms2-2:amd64 <none> 2.12~rc1-2build2
2025-02-04 15:13:55 status half-installed liblcms2-2:amd64 2.12~rc1-2build2
2025-02-04 15:13:55 status unpacked liblcms2-2:amd64 2.12~rc1-2build2
2025-02-04 15:13:55 install libcolord2:amd64 <none> 1.4.6-1
2025-02-04 15:13:55 status half-installed libcolord2:amd64 1.4.6-1
2025-02-04 15:13:55 status unpacked libcolord2:amd64 1.4.6-1
2025-02-04 15:13:55 install libcups2:amd64 <none> 2.4.1op1-1ubuntu4.11
2025-02-04 15:13:55 status half-installed libcups2:amd64 2.4.1op1-1ubuntu4.11
2025-02-04 15:13:55 status unpacked libcups2:amd64 2.4.1op1-1ubuntu4.11
2025-02-04 15:13:55 install libdata-dump-perl:all <none> 1.25-1
2025-02-04 15:13:55 status half-installed libdata-dump-perl:all 1.25-1
2025-02-04 15:13:55 status unpacked libdata-dump-perl:all 1.25-1
2025-02-04 15:13:55 install libdatrie1:amd64 <none> 0.2.13-2
2025-02-04 15:13:55 status half-installed libdatrie1:amd64 0.2.13-2
2025-02-04 15:13:55 status unpacked libdatrie1:amd64 0.2.13-2
2025-02-04 15:13:55 install libdrm-amdgpu1:amd64 <none> 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 status half-installed libdrm-amdgpu1:amd64 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 status unpacked libdrm-amdgpu1:amd64 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 install libpciaccess0:amd64 <none> 0.16-3
2025-02-04 15:13:55 status half-installed libpciaccess0:amd64 0.16-3
2025-02-04 15:13:55 status unpacked libpciaccess0:amd64 0.16-3
2025-02-04 15:13:55 install libdrm-intel1:amd64 <none> 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 status half-installed libdrm-intel1:amd64 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 status unpacked libdrm-intel1:amd64 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 install libdrm-nouveau2:amd64 <none> 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 status half-installed libdrm-nouveau2:amd64 2.4.113-2~ubuntu0.22.04.1
2025-02-04 15:13:55 status unpacked libdrm-nouveau2:amd64 2.4.113-2~ubuntu0.22.04.1
