2025-02-13 16:02:49 status half-installed libavahi-common-data:amd64 0.8-5ubuntu5.2
2025-02-13 16:02:49 status unpacked libavahi-common-data:amd64 0.8-5ubuntu5.2
2025-02-13 16:02:49 install libavahi-common3:amd64 <none> 0.8-5ubuntu5.2
2025-02-13 16:02:49 status half-installed libavahi-common3:amd64 0.8-5ubuntu5.2
2025-02-13 16:02:49 status unpacked libavahi-common3:amd64 0.8-5ubuntu5.2
2025-02-13 16:02:49 install libavahi-client3:amd64 <none> 0.8-5ubuntu5.2
2025-02-13 16:02:49 status half-installed libavahi-client3:amd64 0.8-5ubuntu5.2
2025-02-13 16:02:49 status unpacked libavahi-client3:amd64 0.8-5ubuntu5.2
2025-02-13 16:02:49 install libxpm4:amd64 <none> 1:3.5.12-1ubuntu0.22.04.2
2025-02-13 16:02:49 status half-installed libxpm4:amd64 1:3.5.12-1ubuntu0.22.04.2
2025-02-13 16:02:49 status unpacked libxpm4:amd64 1:3.5.12-1ubuntu0.22.04.2
2025-02-13 16:02:49 install libgd3:amd64 <none> 2.3.0-2ubuntu2.3
2025-02-13 16:02:49 status half-installed libgd3:amd64 2.3.0-2ubuntu2.3
2025-02-13 16:02:49 status unpacked libgd3:amd64 2.3.0-2ubuntu2.3
2025-02-13 16:02:49 install libc-devtools:amd64 <none> 2.35-0ubuntu3.9
2025-02-13 16:02:49 status half-installed libc-devtools:amd64 2.35-0ubuntu3.9
2025-02-13 16:02:49 status unpacked libc-devtools:amd64 2.35-0ubuntu3.9
2025-02-13 16:02:50 install libpixman-1-0:amd64 <none> 0.40.0-1ubuntu0.22.04.1
2025-02-13 16:02:50 status half-installed libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2025-02-13 16:02:50 status unpacked libpixman-1-0:amd64 0.40.0-1ubuntu0.22.04.1
2025-02-13 16:02:50 install libxcb-render0:amd64 <none> 1.14-3ubuntu3
2025-02-13 16:02:50 status half-installed libxcb-render0:amd64 1.14-3ubuntu3
2025-02-13 16:02:50 status unpacked libxcb-render0:amd64 1.14-3ubuntu3
2025-02-13 16:02:50 install libxcb-shm0:amd64 <none> 1.14-3ubuntu3
2025-02-13 16:02:50 status half-installed libxcb-shm0:amd64 1.14-3ubuntu3
2025-02-13 16:02:50 status unpacked libxcb-shm0:amd64 1.14-3ubuntu3
2025-02-13 16:02:50 install libxrender1:amd64 <none> 1:0.9.10-1build4
2025-02-13 16:02:50 status half-installed libxrender1:amd64 1:0.9.10-1build4
2025-02-13 16:02:50 status unpacked libxrender1:amd64 1:0.9.10-1build4
2025-02-13 16:02:50 install libcairo2:amd64 <none> 1.16.0-5ubuntu2
2025-02-13 16:02:50 status half-installed libcairo2:amd64 1.16.0-5ubuntu2
2025-02-13 16:02:50 status unpacked libcairo2:amd64 1.16.0-5ubuntu2
2025-02-13 16:02:50 install libcairo-gobject2:amd64 <none> 1.16.0-5ubuntu2
2025-02-13 16:02:50 status half-installed libcairo-gobject2:amd64 1.16.0-5ubuntu2
2025-02-13 16:02:50 status unpacked libcairo-gobject2:amd64 1.16.0-5ubuntu2
2025-02-13 16:02:50 install libclone-perl:amd64 <none> 0.45-1build3
2025-02-13 16:02:50 status half-installed libclone-perl:amd64 0.45-1build3
2025-02-13 16:02:50 status unpacked libclone-perl:amd64 0.45-1build3
2025-02-13 16:02:50 install liblcms2-2:amd64 <none> 2.12~rc1-2build2
2025-02-13 16:02:50 status half-installed liblcms2-2:amd64 2.12~rc1-2build2
2025-02-13 16:02:50 status unpacked liblcms2-2:amd64 2.12~rc1-2build2
2025-02-13 16:02:50 install libcolord2:amd64 <none> 1.4.6-1
2025-02-13 16:02:50 status half-installed libcolord2:amd64 1.4.6-1
2025-02-13 16:02:50 status unpacked libcolord2:amd64 1.4.6-1
2025-02-13 16:02:50 install libcups2:amd64 <none> 2.4.1op1-1ubuntu4.11
2025-02-13 16:02:50 status half-installed libcups2:amd64 2.4.1op1-1ubuntu4.11
2025-02-13 16:02:50 status unpacked libcups2:amd64 2.4.1op1-1ubuntu4.11
2025-02-13 16:02:50 install libdata-dump-perl:all <none> 1.25-1
2025-02-13 16:02:50 status half-installed libdata-dump-perl:all 1.25-1
2025-02-13 16:02:50 status unpacked libdata-dump-perl:all 1.25-1
2025-02-13 16:02:50 install libdatrie1:amd64 <none> 0.2.13-2
2025-02-13 16:02:50 status half-installed libdatrie1:amd64 0.2.13-2
2025-02-13 16:02:50 status unpacked libdatrie1:amd64 0.2.13-2
2025-02-13 16:02:50 install libdrm-amdgpu1:amd64 <none> 2.4.113-2~ubuntu0.22.04.1
2025-02-13 16:02:50 status half-installed libdrm-amdgpu1:amd64 2.4.113-2~ubuntu0.22.04.1
2025-02-13 16:02:50 status unpacked libdrm-amdgpu1:amd64 2.4.113-2~ubuntu0.22.04.1
2025-02-13 16:02:50 install libpciaccess0:amd64 <none> 0.16-3
